title,description,ingredients,steps,category,image
Pasta con salsa de anacardos,Pasta cremosa con salsa de anacardos y ajo.,"['Pasta', 'Anacardos', 'Ajo', 'Levadura nutricional']","['Cocinar pasta', 'Licuar anacardos y ajo', 'Mezclar con la pasta']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/pasta_con_salsa_de_anacardos.jpg
Tofu a la naranja,Tofu marinado y salteado con una salsa de naranja casera.,"['Tofu', 'Naranja', 'Salsa de soja', 'Jengibre']","['Marinar tofu', 'Saltear con salsa de naranja']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/tofu_a_la_naranja.jpg
Burritos de tofu,Burritos rellenos de tofu marinado y verduras frescas.,"['Tortilla', 'Tofu', 'Pimientos', 'Cebolla', 'Aguacate']","['Cocinar tofu con especias', 'Armar burritos con verduras']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/burritos_de_tofu.jpg
Porridge de avena y coco,Gachas de avena con leche de coco y frutas tropicales.,"['Avena', 'Leche de coco', 'Plátano', 'Mango']","['Cocinar avena con leche de coco', 'Añadir frutas']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/porridge_de_avena_y_coco.jpg
Empanadas veganas de espinacas,Empanadas horneadas rellenas de espinacas y tofu.,"['Harina', 'Espinacas', 'Tofu', 'Cebolla']","['Preparar masa', 'Rellenar y hornear']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/empanadas_veganas_de_espinacas.jpg
Sándwich de tofu marinado,Sándwich crujiente con tofu marinado y aguacate.,"['Pan integral', 'Tofu', 'Aguacate', 'Lechuga']","['Marinar tofu', 'Armar el sándwich']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/sandwich_de_tofu_marinado.jpg
Sopa fría de pepino y menta,Sopa refrescante de pepino con un toque de menta.,"['Pepino', 'Menta', 'Yogur vegetal', 'Limón']","['Licuar ingredientes', 'Servir fría']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/sopa_fria_de_pepino_y_menta.jpg
Tarta de zanahoria vegana,Bizcocho húmedo de zanahoria con especias y nueces.,"['Zanahoria', 'Harina', 'Canela', 'Nueces']","['Mezclar ingredientes', 'Hornear hasta dorar']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/tarta_de_zanahoria_vegana.jpg
Pasta al pesto vegano,Pasta con un delicioso pesto hecho sin queso.,"['Pasta', 'Albahaca', 'Nueces', 'Ajo', 'Aceite de oliva']","['Licuar ingredientes del pesto', 'Mezclar con la pasta']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/pasta_al_pesto_vegano.jpg
Chili sin carne,Versión vegana del chili con frijoles y tomate.,"['Frijoles rojos', 'Tomate', 'Cebolla', 'Pimiento']","['Cocinar ingredientes en olla', 'Sazonar al gusto']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/chili_sin_carne.jpg
Pudding de chía y mango,Pudding cremoso con semillas de chía y mango fresco.,"['Semillas de chía', 'Leche vegetal', 'Mango']","['Mezclar chía con leche', 'Dejar reposar y añadir mango']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/pudding_de_chia_y_mango.jpg
Tacos de lentejas,Deliciosos tacos con lentejas sazonadas y aguacate.,"['Lentejas cocidas', 'Tortillas', 'Aguacate', 'Cilantro', 'Especias']","['Sofreír lentejas con especias', 'Calentar tortillas', 'Servir con aguacate y cilantro']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/tacos_de_lentejas.jpg
Pizza de coliflor,Base de pizza crujiente hecha con coliflor y almendras.,"['Coliflor', 'Harina de almendras', 'Tomate', 'Orégano']","['Mezclar coliflor con harina', 'Hornear y añadir toppings']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/pizza_de_coliflor.jpg
Batido de cacao y almendras,Batido cremoso con cacao puro y leche de almendras.,"['Cacao', 'Leche de almendras', 'Dátiles']","['Licuar todos los ingredientes']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167549/vegan_recipes/batido_de_cacao_y_almendras.jpg
Tarta de chocolate y aguacate,Postre cremoso de chocolate con base de aguacate.,"['Aguacate', 'Cacao', 'Dátiles', 'Harina de almendra']","['Mezclar ingredientes', 'Refrigerar antes de servir']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/tarta_de_chocolate_y_aguacate.jpg
Batido de frutos rojos,Refrescante batido con fresas," arándanos y plátano.","['Fresas', 'Arándanos', 'Plátano', 'Leche de almendras']",['Licuar todos los ingredientes'],https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/batido_de_frutos_rojos.jpg
Hamburguesas de garbanzos,Hamburguesas veganas con garbanzos y especias.,"['Garbanzos cocidos', 'Avena', 'Cebolla', 'Especias']","['Triturar los ingredientes', 'Formar hamburguesas', 'Cocinar en sartén']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/hamburguesas_de_garbanzos.jpg
Sopa de zanahoria y jengibre,Sopa cremosa con zanahoria y un toque de jengibre.,"['Zanahoria', 'Jengibre', 'Caldo vegetal']","['Cocinar ingredientes', 'Licuar hasta obtener crema']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/sopa_de_zanahoria_y_jengibre.jpg
Sopa de calabaza y jengibre,Una sopa reconfortante con calabaza y un toque de jengibre.,"['Calabaza', 'Jengibre', 'Cebolla', 'Caldo vegetal']","['Cocinar ingredientes', 'Licuar hasta obtener crema']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/sopa_de_calabaza_y_jengibre.jpg
Pimientos rellenos de quinoa,Pimientos horneados rellenos de quinoa y especias.,"['Pimientos', 'Quinoa', 'Tomate', 'Cebolla', 'Especias']","['Cocinar quinoa', 'Rellenar pimientos y hornear']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167549/vegan_recipes/pimientos_rellenos_de_quinoa.jpg
Panqueques de avena y plátano,Panqueques saludables sin azúcar," hechos con avena y plátano.","['Avena', 'Plátano', 'Leche vegetal', 'Canela']",['Mezclar ingredientes',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/panqueques_de_avena_y_platano.jpg
Tarta de fresas vegana,Tarta sin lácteos con fresas frescas y base crujiente.,"['Fresas', 'Harina', 'Leche de almendras']","['Preparar masa', 'Hornear y añadir fresas']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/tarta_de_fresas_vegana.jpg
Smoothie de espinacas y piña,Smoothie refrescante con espinacas," piña y leche de coco.","['Espinacas', 'Piña', 'Leche de coco']",['Licuar todos los ingredientes'],https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/smoothie_de_espinacas_y_pina.jpg
Tacos de champiñones y aguacate,Tacos veganos con champiñones sazonados y aguacate.,"['Tortillas', 'Champiñones', 'Aguacate', 'Cilantro']","['Cocinar champiñones', 'Servir en tortillas con aguacate']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/tacos_de_champinones_y_aguacate.jpg
Sopa de miso con tofu,Sopa japonesa con miso," tofu y algas.","['Miso', 'Tofu', 'Alga nori', 'Cebollino']",['Hervir agua con miso',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167550/vegan_recipes/sopa_de_miso_con_tofu.jpg
Mousse de chocolate vegana,Mousse cremosa de chocolate con aguacate.,"['Aguacate', 'Cacao en polvo', 'Endulzante']","['Mezclar ingredientes hasta obtener textura cremosa']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/mousse_de_chocolate_vegana.jpg
Risotto de champiñones,Risotto cremoso con champiñones y caldo de verduras.,"['Arroz arborio', 'Champiñones', 'Caldo de verduras', 'Levadura nutricional']","['Cocinar arroz con caldo', 'Añadir champiñones y mezclar']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/risotto_de_champinones.jpg
Curry de batata y espinacas,Curry especiado con batata y espinacas en leche de coco.,"['Batata', 'Espinacas', 'Leche de coco', 'Curry']","['Cocinar batata con especias', 'Añadir espinacas y leche de coco']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/curry_de_batata_y_espinacas.jpg
Crema de calabacín y almendras,Sopa cremosa con calabacín y almendras tostadas.,"['Calabacín', 'Almendras', 'Caldo vegetal', 'Cebolla']","['Cocinar calabacín', 'Licuar con almendras']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/crema_de_calabacin_y_almendras.jpg
Crepes de avena,Crepes ligeros de avena con mermelada casera.,"['Avena', 'Leche vegetal', 'Harina', 'Mermelada']","['Mezclar ingredientes', 'Cocinar en sartén y rellenar']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/crepes_de_avena.jpg
Guiso de lentejas y patata,Guiso reconfortante con lentejas y patatas.,"['Lentejas', 'Patata', 'Zanahoria', 'Tomate']","['Cocinar lentejas con verduras', 'Añadir especias al gusto']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/guiso_de_lentejas_y_patata.jpg
Sopa de lentejas rojas,Sopa especiada de lentejas rojas con tomate y comino.,"['Lentejas rojas', 'Tomate', 'Comino', 'Cebolla']","['Cocinar lentejas con tomate y especias']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/sopa_de_lentejas_rojas.jpg
Crema de espinacas y coco,Crema suave de espinacas con un toque de leche de coco.,"['Espinacas', 'Leche de coco', 'Cebolla', 'Especias']","['Cocinar ingredientes', 'Licuar hasta obtener crema']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/crema_de_espinacas_y_coco.jpg
Muffins de plátano y nueces,Muffins esponjosos con plátano y trozos de nueces.,"['Plátano', 'Harina', 'Nueces', 'Levadura']","['Mezclar ingredientes', 'Hornear en moldes']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/muffins_de_platano_y_nueces.jpg
Arepas rellenas de frijoles,Arepas crujientes rellenas con frijoles negros y aguacate.,"['Harina de maíz', 'Frijoles negros', 'Aguacate', 'Cilantro']","['Preparar masa de arepa', 'Rellenar con frijoles y aguacate']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167550/vegan_recipes/arepas_rellenas_de_frijoles.jpg
Pan de plátano vegano,Pan esponjoso de plátano con harina integral.,"['Plátano', 'Harina integral', 'Canela']","['Mezclar ingredientes', 'Hornear hasta dorar']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/pan_de_platano_vegano.jpg
Tostadas con aguacate y tomate,Desayuno rápido y saludable con pan integral y aguacate.,"['Pan integral', 'Aguacate', 'Tomate', 'Aceite de oliva']","['Tostar el pan', 'Untar aguacate y añadir tomate']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/tostadas_con_aguacate_y_tomate.jpg
Ensalada de couscous y garbanzos,Ensalada fresca con couscous," garbanzos y limón.","['Couscous', 'Garbanzos', 'Limón']",['Hidratar couscous',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/ensalada_de_couscous_y_garbanzos.jpg
Pastel de calabaza vegano,Pastel esponjoso de calabaza con especias.,"['Calabaza', 'Harina', 'Canela', 'Azúcar']","['Mezclar ingredientes', 'Hornear hasta dorar']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/pastel_de_calabaza_vegano.jpg
Sushi vegano,Rollos de sushi con aguacate," pepino y zanahoria.","['Alga nori', 'Arroz', 'Aguacate', 'Pepino', 'Zanahoria']",['Cocinar arroz',https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/sushi_vegano.jpg
Galletas de avena y chocolate,Galletas veganas con avena y trozos de chocolate.,"['Avena', 'Harina', 'Chocolate negro', 'Azúcar de coco']","['Mezclar ingredientes', 'Formar galletas', 'Hornear']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/galletas_de_avena_y_chocolate.jpg
Bowl de frutas y granola,Bowl refrescante con frutas frescas y granola casera.,"['Plátano', 'Fresas', 'Granola']","['Cortar frutas', 'Servir con granola']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/bowl_de_frutas_y_granola.jpg
Bowl de avena y frutas,Un desayuno saludable con avena," plátano y frutos rojos.","['Avena', 'Leche vegetal', 'Plátano', 'Frutos rojos']",['Cocinar la avena con leche',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/bowl_de_avena_y_frutas.jpg
Helado de plátano y cacao,Helado casero sin azúcar," solo con plátano y cacao.","['Plátano', 'Cacao en polvo']",['Congelar plátano',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/helado_de_platano_y_cacao.jpg
Tofu a la mostaza,Tofu marinado con salsa de mostaza y ajo.,"['Tofu', 'Mostaza', 'Ajo', 'Aceite de oliva']","['Marinar tofu', 'Cocinar en sartén']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/tofu_a_la_mostaza.jpg
Arroz con leche vegano,Postre clásico con leche de almendras y canela.,"['Arroz', 'Leche de almendras', 'Canela', 'Azúcar']","['Cocinar arroz en leche', 'Endulzar y añadir canela']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/arroz_con_leche_vegano.jpg
Lasaña de berenjena,Lasaña sin pasta con capas de berenjena y salsa de tomate.,"['Berenjena', 'Tomate', 'Tofu', 'Especias']","['Cortar berenjena en láminas', 'Hornear con salsa de tomate']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/lasana_de_berenjena.jpg
Sopa de tomate asado,Sopa cremosa con tomates asados y albahaca.,"['Tomates', 'Albahaca', 'Ajo', 'Caldo vegetal']","['Asar tomates y ajo', 'Licuar con caldo']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/sopa_de_tomate_asado.jpg
Ensalada de quinoa y aguacate,Refrescante ensalada con quinoa," aguacate y aderezo de limón.","['Quinoa', 'Aguacate', 'Tomate', 'Limón', 'Aceite de oliva']",['Cocinar la quinoa',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/ensalada_de_quinoa_y_aguacate.jpg
Croquetas de espinacas y avena,Croquetas horneadas con espinacas y copos de avena.,"['Espinacas', 'Avena', 'Cebolla', 'Especias']","['Mezclar ingredientes', 'Formar croquetas y hornear']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/croquetas_de_espinacas_y_avena.jpg
Tarta de coco y limón,Tarta vegana con base de coco y un toque cítrico.,"['Coco rallado', 'Limón', 'Harina de almendra']","['Mezclar ingredientes', 'Hornear hasta dorar']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257967/vegan_recipes/tarta_de_coco_y_limon.jpg
Bowl de quinoa y garbanzos,Un plato nutritivo con quinoa," garbanzos y vegetales asados.","['Quinoa', 'Garbanzos', 'Pimientos', 'Cebolla', 'Aceite de oliva']",['Cocinar quinoa',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/bowl_de_quinoa_y_garbanzos.jpg
Galletas de almendra y arándanos,Galletas crujientes con almendras y arándanos secos.,"['Harina de almendra', 'Arándanos secos', 'Azúcar de coco']","['Mezclar ingredientes', 'Formar galletas y hornear']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/galletas_de_almendra_y_arandanos.jpg
Curry de garbanzos,Un curry aromático con garbanzos y leche de coco.,"['Garbanzos', 'Leche de coco', 'Curry', 'Cebolla', 'Ajo']","['Sofreír cebolla y ajo', 'Añadir garbanzos y curry', 'Cocinar con leche de coco']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/curry_de_garbanzos.jpg
Guiso de garbanzos y espinacas,Guiso especiado con garbanzos y espinacas frescas.,"['Garbanzos', 'Espinacas', 'Tomate', 'Ajo']","['Cocinar garbanzos con especias', 'Añadir espinacas y cocinar']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/guiso_de_garbanzos_y_espinacas.jpg
Ensalada de espinacas y fresas,Ensalada fresca con espinacas," fresas y nueces.","['Espinacas', 'Fresas', 'Nueces', 'Vinagre balsámico']",['Cortar ingredientes',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257967/vegan_recipes/ensalada_de_espinacas_y_fresas.jpg
Falafel al horno,Deliciosas bolitas de garbanzo sazonadas," horneadas en lugar de fritas.","['Garbanzos', 'Cebolla', 'Ajo', 'Cilantro', 'Especias']",['Triturar ingredientes',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/falafel_al_horno.jpg
Galletas de coco y avena,Galletas crujientes con coco rallado y avena.,"['Coco rallado', 'Avena', 'Azúcar de coco']","['Mezclar ingredientes', 'Hornear hasta dorar']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257967/vegan_recipes/galletas_de_coco_y_avena.jpg
Ceviche de champiñones,Versión vegana del ceviche tradicional," con champiñones.","['Champiñones', 'Cilantro', 'Cebolla', 'Limón']",['Cortar champiñones en rodajas',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/ceviche_de_champinones.jpg
Ensalada de rúcula y fresas,Ensalada fresca con rúcula," fresas y nueces.","['Rúcula', 'Fresas', 'Nueces', 'Vinagre balsámico']",['Cortar ingredientes',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/ensalada_de_rucula_y_fresas.jpg
Brownies de frijoles negros,Postre saludable hecho con frijoles negros y cacao.,"['Frijoles negros', 'Cacao', 'Azúcar', 'Harina']","['Triturar ingredientes', 'Hornear hasta firme']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/brownies_de_frijoles_negros.jpg
Wrap de hummus y vegetales,Un wrap ligero con hummus casero y verduras frescas.,"['Tortilla', 'Hummus', 'Pepino', 'Zanahoria']","['Untar hummus en la tortilla', 'Añadir vegetales y enrollar']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257715/vegan_recipes/wrap_de_hummus_y_vegetales.jpg
Bowl de arroz y frijoles negros,Bowl nutritivo con arroz," frijoles negros y aguacate.","['Arroz', 'Frijoles negros', 'Aguacate']",['Cocinar arroz y frijoles',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/bowl_de_arroz_y_frijoles_negros.jpg
Tarta de manzana vegana,Tarta de manzana casera con base crujiente.,"['Manzana', 'Harina', 'Azúcar de coco', 'Canela']","['Preparar masa', 'Hornear con manzanas y canela']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/tarta_de_manzana_vegana.jpg
Crema de champiñones vegana,Sopa cremosa de champiñones sin lácteos.,"['Champiñones', 'Leche de almendras', 'Ajo']","['Cocinar champiñones', 'Licuar con leche de almendras']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/crema_de_champinones_vegana.jpg
Rollitos de arroz con verduras,Rollitos frescos con papel de arroz y verduras crujientes.,"['Papel de arroz', 'Zanahoria', 'Pepino', 'Aguacate']","['Hidratar papel de arroz', 'Rellenar con verduras y enrollar']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/rollitos_de_arroz_con_verduras.jpg
Wrap de espinacas y hummus,Wrap saludable con espinacas frescas y hummus casero.,"['Tortilla', 'Espinacas', 'Hummus']","['Untar hummus en tortilla', 'Añadir espinacas y enrollar']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/wrap_de_espinacas_y_hummus.jpg
Bocadillo de hummus y pimientos asados,Bocadillo cremoso con hummus casero y pimientos dulces asados.,"['Pan integral', 'Hummus', 'Pimientos asados']","['Untar hummus en pan', 'Añadir pimientos y servir']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/bocadillo_de_hummus_y_pimientos_asados.jpg
Ensalada de remolacha y nueces,Ensalada colorida con remolacha," nueces y vinagreta.","['Remolacha', 'Nueces', 'Vinagreta']",['Cortar remolacha',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/ensalada_de_remolacha_y_nueces.jpg
Bocadillo de aguacate y tomate seco,Bocadillo rústico con aguacate y tomate seco.,"['Pan rústico', 'Aguacate', 'Tomate seco']","['Untar aguacate en pan', 'Añadir tomate seco y servir']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167550/vegan_recipes/bocadillo_de_aguacate_y_tomate_seco.jpg
Bocadillo de tempeh y mostaza,Bocadillo crujiente con tempeh marinado y mostaza.,"['Pan integral', 'Tempeh', 'Mostaza', 'Lechuga']","['Marinar tempeh', 'Armar bocadillo']",Merienda,https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/bocadillo_de_tempeh_y_mostaza.jpg
Ensalada de garbanzos y pepino,Ensalada fresca con garbanzos," pepino y limón.","['Garbanzos', 'Pepino', 'Limón', 'Aceite de oliva']",['Cortar ingredientes',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/ensalada_de_garbanzos_y_pepino.jpg
Ensalada de lentejas y mango,Una ensalada fresca con lentejas," mango y cilantro.","['Lentejas', 'Mango', 'Cilantro', 'Pimiento']",['Cocinar lentejas',https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/ensalada_de_lentejas_y_mango.jpg
Tacos de jackfruit,Tacos veganos con jackfruit desmenuzado y especias.,"['Jackfruit', 'Tortillas', 'Especias']","['Cocinar jackfruit con especias', 'Servir en tortillas']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/tacos_de_jackfruit.jpg
Smoothie de plátano y espinacas,Bebida nutritiva con plátano," espinacas y leche vegetal.","['Plátano', 'Espinacas', 'Leche de almendras', 'Chía']",['Licuar todos los ingredientes'],https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/smoothie_de_platano_y_espinacas.jpg
Gazpacho de sandía,Una versión refrescante del gazpacho tradicional," con sandía.","['Sandía', 'Tomate', 'Pepino', 'Pimiento', 'Aceite de oliva']",['Licuar todos los ingredientes',https://res.cloudinary.com/dyhasskhz/image/upload/v1741166843/vegan_recipes/gazpacho_de_sandia.jpg
Ensalada de col rizada y almendras,Ensalada crujiente con col rizada," almendras y aderezo de limón.","['Col rizada', 'Almendras', 'Limón', 'Aceite de oliva']",['Cortar col',https://res.cloudinary.com/dyhasskhz/image/upload/v1741167734/vegan_recipes/ensalada_de_col_rizada_y_almendras.jpg
Barritas de avena y dátiles,Barritas energéticas caseras con avena y dátiles.,"['Avena', 'Dátiles', 'Almendras']","['Mezclar ingredientes', 'Compactar y refrigerar']",Comida,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257966/vegan_recipes/barritas_de_avena_y_datiles.jpg
Muffins de chocolate veganos,Muffins esponjosos con cacao y harina integral.,"['Cacao', 'Harina integral', 'Azúcar de coco']","['Mezclar ingredientes', 'Hornear']",Desayuno,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257716/vegan_recipes/muffins_de_chocolate_veganos.jpg
Sándwich de garbanzos y aguacate,Sándwich cremoso con puré de garbanzos y aguacate.,"['Pan integral', 'Garbanzos', 'Aguacate', 'Limón']","['Triturar garbanzos con aguacate', 'Armar sándwich']",Cena,https://res.cloudinary.com/dyhasskhz/image/upload/v1741257967/vegan_recipes/sandwich_de_garbanzos_y_aguacate.jpg